id,title,artist,genre,traits,description
1,Dog Days Are Over,Florence + the Machine,indie pop,INFP|idealistic|dreamy|introspective,A euphoric release of letting go of fear and embracing hope for what's ahead.
2,Skinny Love,Bon Iver,folk,INFP|melancholic|romantic|sensitive,A raw, aching confession about love that feels too fragile to hold together.
3,The Night We Met,Lord Huron,indie folk,INFP|nostalgic|wistful|emotional,A haunting wish to rewind time and undo a painful goodbye.
4,Bloom,The Paper Kites,indie folk,INFP|gentle|imaginative|tender,A soft meditation on patience and the slow unfolding of love.
5,Holocene,Bon Iver,indie folk,INFP|reflective|solitary|poetic,A quiet reckoning with feeling small yet deeply connected to the world.
6,Fix You,Coldplay,alternative rock,INFJ|empathetic|healing|compassionate,A comforting promise to help mend someone through their darkest moments.
7,Vienna,Billy Joel,soft rock,INFJ|wise|patient|introspective,A gentle reminder that self-worth doesn't require rushing toward success.
8,Breathe Me,Sia,art pop,INFJ|vulnerable|seeking|deep,A quiet plea for closeness from someone struggling to hold themselves together.
9,Landslide,Fleetwood Mac,folk rock,INFJ|reflective|growth-oriented|intuitive,A tender look at change, aging, and trusting your own inner voice.
10,Hallelujah,Jeff Buckley,ballad,INFJ|spiritual|melancholic|profound,A layered meditation on love, faith, and imperfect devotion.
11,Somewhere Only We Know,Keane,alternative rock,ENFP|nostalgic|adventurous|warm,An earnest search for a hidden place of comfort and shared memory.
12,Walking on Sunshine,Katrina and the Waves,pop rock,ENFP|joyful|energetic|optimistic,An infectious burst of pure happiness after falling for someone new.
13,Good Days,SZA,r&b,ENFP|hopeful|free-spirited|reflective,A hard-won embrace of optimism after moving past personal turmoil.
14,Shut Up and Dance,Walk the Moon,pop rock,ENFP|spontaneous|playful|exuberant,An impulsive, electric moment of connection on a crowded dance floor.
15,Free Fallin',Tom Petty,rock,ENFP|carefree|restless|romantic,A breezy anthem about chasing feeling over certainty in love and life.
16,Where Is My Mind,Pixies,alternative rock,ENTP|unconventional|curious|chaotic,A surreal, restless exploration of losing and questioning one's own reality.
17,Feel Good Inc.,Gorillaz,alternative hip hop,ENTP|witty|inventive|energetic,A genre-bending critique of hollow happiness wrapped in playful absurdity.
18,Pumped Up Kicks,Foster the People,indie pop,ENTP|provocative|clever|unsettling,A deceptively upbeat song hiding a dark, thought-provoking narrative twist.
19,Take Me Out,Franz Ferdinand,indie rock,ENTP|bold|charismatic|quick-witted,A restless, flirtatious dare wrapped in sharp rhythmic energy.
20,Are You Gonna Be My Girl,Jet,garage rock,ENTP|impulsive|charming|high-energy,A fast-talking, magnetic pursuit of spontaneous connection.
21,In My Life,The Beatles,rock,ENFJ|nostalgic|sincere|loving,A heartfelt tribute to the people and places that shaped who you are.
22,Man in the Mirror,Michael Jackson,pop,ENFJ|inspiring|purposeful|compassionate,A rallying call to lead change by first transforming yourself.
23,Rise Up,Andra Day,soul,ENFJ|empowering|resilient|hopeful,A powerful anthem of standing strong for others through adversity.
24,Brave,Sara Bareilles,pop,ENFJ|encouraging|expressive|warm,An uplifting push for someone to finally speak their truth.
